metric_name,corr_type,pval_type,corr_avg,corr_std,BBBC039,DSB2018,Hoechst,S_BIAD895
NuNo,s rho,pval,,,0.16,0.37,0.85,0.19
NuNo,pr,score,0.07750000000000003,0.48058124529920365,0.15,-0.48,-0.04,0.68
NuNo,pr,pval,,,0.75,0.28,0.93,0.14
RegHscore,kt,score,0.34750000000000003,0.36736675589025924,0.33,0.05,0.14,0.87
RegHscore,kt,pval,,,0.41,0.97,0.72,0.02
RegHscore,s rho,score,0.36,0.4257542327055207,0.36,-0.07,0.21,0.94
RegHscore,s rho,pval,,,0.45,0.92,0.66,0.02
RegHscore,pr,score,0.345,0.34200389861325653,0.29,0.18,0.07,0.84
RegHscore,pr,pval,,,0.52,0.7,0.88,0.03
TS,kt,score,0.022500000000000006,0.28158776015066184,0.14,-0.33,-0.05,0.33
TS,kt,pval,,,0.84,0.41,1.0,0.45
TS,s rho,score,0.105,0.389657969677682,0.25,-0.43,0.11,0.49
TS,s rho,pval,,,0.64,0.35,0.77,0.35
TS,pr,score,-0.08500000000000002,0.38249182997810555,-0.02,-0.56,-0.13,0.37
TS,pr,pval,,,0.97,0.2,0.79,0.48
